twitter_id	followers_count	friends_count	statuses_count	favourites_count	listed_count	created_year	name_words	screen_name_length	description_length
775637	0.30010608411	0.321335195222	0.372142791401	0.0361703366508	0.124731098581	0.0	0.111111111111	0.5	0.15625
2182641	0.990099816737	0.426754330536	0.65669587746	0.213909107186	0.903140617172	0.0	0.111111111111	0.916666666667	0.9
2495181	0.322054995902	0.406568251014	0.485190857238	0.420524116683	0.124731098581	0.0	0.111111111111	0.666666666667	0.48125
5520482	0.357966111575	0.316115087062	0.431896071751	0.11175525935	0.142232617397	0.0	0.111111111111	0.25	0.0
5530002	0.376019438251	0.430977868702	0.568166159987	0.415589751513	0.299625739978	0.0	0.111111111111	0.416666666667	0.2375
5715132	0.435232846983	0.522452106137	0.653809512245	0.0361703366508	0.340120879212	0.0	0.0	0.416666666667	0.94375
8714172	0.395449037763	0.47187067429	0.777660960572	0.547335499937	0.348331815556	0.0	0.111111111111	0.833333333333	0.0
9699312	0.333993214096	0.452553612543	0.586695333985	0.347177716534	0.193548811116	0.0	0.111111111111	0.583333333333	0.7125
10143902	0.418560449315	0.50092726512	0.545484632865	0.275742706103	0.378322301269	0.0	0.111111111111	0.666666666667	0.48125
10485842	0.301953875769	0.428313185803	0.499269509276	0.0	0.0	0.0	0.111111111111	0.833333333333	0.85625
10540152	0.44543276577	0.475144549341	1.0	0.553399995206	0.286758951972	0.0	0.0	0.25	0.175
10588142	0.347934964634	0.458547758031	0.576417684727	0.281626620284	0.142232617397	0.0	0.111111111111	0.833333333333	0.825
10745962	0.225808190573	0.358257477916	0.445682902652	0.0618335989166	0.104031195341	0.0	0.111111111111	0.75	0.24375
10915772	0.50069601135	0.429082606232	0.678817020342	0.463000097403	0.50372720087	0.0	0.111111111111	0.333333333333	0.24375
11339662	0.280982998234	0.307669368648	0.533200285574	0.15207550827	0.124731098581	0.0	0.222222222222	0.75	0.64375
11423342	0.336697974348	0.417661855678	0.656656721681	0.294011806702	0.282124221162	0.0	0.0	0.916666666667	0.9375
11830192	0.508703462609	0.352166735271	0.577710419864	0.0618335989166	0.321669270009	0.125	0.111111111111	0.833333333333	0.675
